file,target_len,prompt_snippet,target_snippet,generations,best_bleu,best_recall,best_rougeL,exact_match_any
src/screens/Helpers/TableSearchFilter.res,1019,"@react.component
let make = (
  ~data,
  ~filterLogic=_ => {()},
  ~placeholder,
  ~searchVal,
  ~setSearchVal,
  ~customSearchBarWrapperWidth=""w-1/4"",
  ~customInputBoxWidth=""w-72"",
) => {
  let filterData = React.useCallback(filterLogic, [])

  React.u","seEffect(() => {
    filterData((searchVal, data))
    None
  }, [searchVal])

  let onChange = ev => {
    let value = ReactEvent.Form.target(ev)[""value""]
    setSearchVal(_ => value)
  }

  let handleSubmit = (_, _) => {Nullable.null->Promise.resolve}

  let inputSearch: ReactFinalForm.fieldRenderPropsInput = {
    name: ""search"",
    onBlur: _ => (),
    onChange,
    onFocus: _ => (),
    valu...","['', '', '']",0.0,0.0,0.0,0
crates/hyperswitch_domain_models/src/customer.rs,15521,"#[cfg(all(feature = ""v2"", feature = ""customer_v2""))]
use common_enums::DeleteStatus;
use common_utils::{
    crypto::{self, Encryptable},
    date_time,
    encryption::Encryption,
    errors::{CustomResult, ValidationError},
    id_type, pii,
    types::{
        keymanager::{self, KeyManagerState, ToEncryptable},
        Description,
    },
};
use diesel_models::customers::CustomerUpdateInternal...","f()
            .and_then(|connector_customer_map| connector_customer_map.get(merchant_connector_id))
            .map(|connector_customer_id| connector_customer_id.as_str())
    }
}

#[cfg(all(any(feature = ""v1"", feature = ""v2""), not(feature = ""customer_v2"")))]
#[async_trait::async_trait]
impl super::behaviour::Conversion for Customer {
    type DstType = diesel_models::customers::Customer;
    t...","['', '', '']",0.0,0.0,0.0,0
crates/router/tests/connectors/zsl.rs,1391,"use router::types::{self, storage::enums};
use test_utils::connector_auth;

use crate::utils::{self, ConnectorActions};

struct ZslTest;
impl ConnectorActions for ZslTest {}
impl utils::Connector for ZslTest {
    fn get_data(&self) -> types::api::ConnectorData {
        use router::connector::Zsl;
        utils::construct_connector_data_old(
  ","          Box::new(&Zsl),
            types::Connector::Adyen,
            // Added as Dummy connector as template code is added for future usage
            types::api::GetToken::Connector,
            None,
        )
    }

    fn get_auth_token(&self) -> types::ConnectorAuthType {
        utils::to_connector_auth_type(
            connector_auth::ConnectorAuthentication::new()
                ....","['', '', '']",0.0,0.0,0.0,0
crates/analytics/src/disputes/filters.rs,1490,"use api_models::analytics::{disputes::DisputeDimensions, Granularity, TimeRange};
use common_utils::errors::ReportSwitchExt;
use diesel_models::enums::Currency;
use error_stack::ResultExt;
use time::PrimitiveDateTime;

use crate::{
    enums::AuthInfo,
    query::{Aggregate, GroupByClause, QueryBuilder, QueryFilter, ToSql, Window},
    types::{
        AnalyticsCollecti","on, AnalyticsDataSource, DBEnumWrapper, FiltersError, FiltersResult,
        LoadRow,
    },
};
pub trait DisputeFilterAnalytics: LoadRow<DisputeFilterRow> {}

pub async fn get_dispute_filter_for_dimension<T>(
    dimension: DisputeDimensions,
    auth: &AuthInfo,
    time_range: &TimeRange,
    pool: &T,
) -> FiltersResult<Vec<DisputeFilterRow>>
where
    T: AnalyticsDataSource + DisputeFilterAna...","['', '', '']",0.0,0.0,0.0,0
src/screens/Sidebar/Sidebar.res,17846,"open HeadlessUI
open SidebarTypes

let defaultLinkSelectionCheck = (firstPart, tabLink) => {
  firstPart->LogicUtils.removeTrailingSlash === tabLink->LogicUtils.removeTrailingSlash
}

let getIconSize = buttonType => {
  switch buttonType {
  | ""large"" => 42
  | ""larger"" => 65
  | _ => 20
  }
}

module MenuOption = {
  @react.component
  let make = (~text=?, ~children=?, ~onClick=?) => {
    let {g...","r} flex flex-row items-center cursor-pointer ${selectedClass} p-3`}>
            {switch selectedIcon {
            | Some(selectedIcon) =>
              <SidebarOption name icon isSidebarExpanded isSelected selectedIcon />
            | None => <SidebarOption name icon isSidebarExpanded isSelected />
            }}
            remoteUi
          </a>
        </RenderIf>
      }

    | LinkWithTag...","['', '', '']",0.0,0.0,0.0,0
src/Recon/ReconScreens/ReconConfiguration/ConnectProcessors/ConnectProcessorsHelper.res,6644,"open HSwitchUtils
let p1MediumTextStyle = HSwitchUtils.getTextClass((P1, Medium))
let p1RegularText = getTextClass((P1, Regular))

let generateDropdownOptionsCustomComponent: array<OMPSwitchTypes.ompListTypes> => array<
  SelectBox.dropdownOption,
> = dropdownList => {
  let options: array<SelectBox.dropdownOption> = dropdownList->Array.map((
    item
  ): SelectBox.dropdownOption => {
    let opt...",">String.toUpperCase} className=""w-6 h-6"" />
          <p
            className=""overflow-scroll text-nowrap text-sm font-medium text-nd_gray-500 whitespace-pre  "">
            {subHeading->React.string}
          </p>
        </RenderIf>
        <RenderIf condition={subHeading->String.length == 0}>
          <p
            className=""overflow-scroll text-nowrap text-sm font-medium text-nd_gray-500...","['', '', '']",0.0,0.0,0.0,0
crates/analytics/src/refunds/metrics.rs,4161,"use api_models::analytics::{
    refunds::{
        RefundDimensions, RefundFilters, RefundMetrics, RefundMetricsBucketIdentifier, RefundType,
    },
    Granularity, TimeRange,
};
use diesel_models::enums as storage_enums;
use time::PrimitiveDateTime;
mod refund_count;
mod refund_processed_amount;
mod refund_success_count;
mod refund_success_rate;
mod sessionized_metrics;
use std::collections::Ha...","efund_type: Option<DBEnumWrapper<RefundType>>,
    pub profile_id: Option<String>,
    pub refund_reason: Option<String>,
    pub refund_error_message: Option<String>,
    pub total: Option<bigdecimal::BigDecimal>,
    pub count: Option<i64>,
    #[serde(with = ""common_utils::custom_serde::iso8601::option"")]
    pub start_bucket: Option<PrimitiveDateTime>,
    #[serde(with = ""common_utils::custom_...","['', '', '']",0.0,0.0,0.0,0
crates/api_models/src/routing.rs,19726,"use std::fmt::Debug;

use common_utils::{errors::ParsingError, ext_traits::ValueExt, pii};
pub use euclid::{
    dssa::types::EuclidAnalysable,
    frontend::{
        ast,
        dir::{DirKeyKind, EuclidDirFilter},
    },
};
use serde::{Deserialize, Serialize};
use utoipa::ToSchema;

use crate::enums::{RoutableConnectors, TransactionType};

#[derive(Debug, Clone, Serialize, Deserialize, ToSchema...","}
}

impl Eq for RoutableConnectorChoice {}

impl From<RoutableChoiceSerde> for RoutableConnectorChoice {
    fn from(value: RoutableChoiceSerde) -> Self {
        match value {
            RoutableChoiceSerde::OnlyConnector(connector) => Self {
                choice_kind: RoutableChoiceKind::OnlyConnector,
                connector: *connector,
                merchant_connector_id: None,
      ...","['', '', '']",0.0,0.0,0.0,0
src/fragments/ConnectorFragments/ConnectorPaymentMethodv2/PMSelectAll.res,4764,"module PMSelectAll = {
  @react.component
  let make = (
    ~availablePM: array<ConnectorTypes.paymentMethodConfigTypeV2>,
    ~fieldsArray: array<ReactFinalForm.fieldRenderProps>,
    ~pm,
    ~pmt,
  ) => {
    open LogicUtils
    open ConnectorPaymentMethodV2Utils
    let pmEnabledInp = (fieldsArray[0]->Option.getOr(ReactFinalForm.fakeFieldRenderProps)).input
    let pmEnabledValue =
      pmE...","        (""payment_method_subtypes"", updatePMTData->Identity.genericTypeToJson),
          ]
          ->Dict.fromArray
          ->Identity.anyTypeToReactEvent
        pmArrayInp.onChange(updatedData)
      } else if pm->getPMFromString == Card && pmt->getPMTFromString == Debit {
        let pmtData = pmEnabledValue->Array.find(ele => ele.payment_method_type == pm)
        let updatePMTData = swit...","['', '', '']",0.0,0.0,0.0,0
crates/router/src/db/api_keys.rs,15186,"use error_stack::report;
use router_env::{instrument, tracing};
#[cfg(feature = ""accounts_cache"")]
use storage_impl::redis::cache::{self, CacheKind, ACCOUNTS_CACHE};

use super::{MockDb, Store};
use crate::{
    connection,
    core::errors::{self, CustomResult},
    types::storage,
};

#[async_trait::async_trait]
pub trait ApiKeyInterface {
    async fn insert_api_key(
        &self,
        api_...","      }
    }

    #[instrument(skip_all)]
    async fn revoke_api_key(
        &self,
        merchant_id: &common_utils::id_type::MerchantId,
        key_id: &common_utils::id_type::ApiKeyId,
    ) -> CustomResult<bool, errors::StorageError> {
        let conn = connection::pg_connection_write(self).await?;
        let delete_call = || async {
            storage::ApiKey::revoke_by_merchant_id_k...","['', '', '']",0.0,0.0,0.0,0
